Questions,Oracle
"I want to retrieve information about all trash bins in the system","GET /bin \n"
"I want to register a new trash bin in the system with id: 3, location: 'City Square', fillLevel: 10, lastEmptied: '2025-09-25T06:30:00Z', binType: 'organic', status: 'normal'","POST /bin \n"
"I want to delete the trash bin with id: 1 from the system","DELETE /bin/1 \n"
"I want to retrieve information about the trash bin with id: 1","GET /bin/1 \n"
"I want to update the trash bin with id: 1 to have fillLevel: 100 and status: 'overflowing'","PUT /bin/1 \n"
"I want to retrieve information about all the buildings registered in the system","GET /building \n"
"I want to register a new building in the system with id: 3, name: 'Community Center', address: '789 Community Rd, Cityville', occupancy: 30, energyUsage: 500, status: 'operational'","POST /building \n"
"I want to delete the building with id: 1 from the system","DELETE /building/1 \n"
"I want to retrieve information about the building with id: 1","GET /building/1 \n"
"I want to update the building with id: 1 to have occupancy: 160 and energyUsage: 1250","PUT /building/1 \n"
"I want to retrieve information about all EV charging stations in the system","GET /charging-station \n"
"I want to register a new EV charging station in the system with id: 3, location: '789 Battery Blvd', available: 'true', connectors: 6, chargingSpeed: 'slow', pricePerKWh: 0.2","POST /charging-station \n"
"I want to delete the EV charging station with id: 1 from the system","DELETE /charging-station/1 \n"
"I want to retrieve information about the EV charging station with id: 1","GET /charging-station/1 \n"
"I want to update the EV charging station with id: 1 to have available: false","PUT /charging-station/1 \n"
"I want to reitrieve information about all citizen reports in the system","GET /citizen-report \n"
"I want to register a new citizen report in the system with id: 3, reporterName: 'Alice Johnson', location: 'Main St and 3rd Ave', category: 'safety', description: 'Large pothole on Main St', status: 'open', submittedAt: '2025-09-25T08:00:00Z'","POST /citizen-report \n"
"I want to delete the citizen report with id: 1 from the system","DELETE /citizen-report/1 \n"
"I want to retrieve information about the citizen report with id: 1","GET /citizen-report/1 \n"
"I want to update the citizen report with id: 1 to have status: 'resolved'","PUT /citizen-report/1 \n"
"I want to retrieve information about all emergency units in the system","GET /emergency-unit \n"
"I want to register a new emergency unit in the system with id: 3, type: 'police', location: 'Station 5', available: true, status: 'idle'","POST /emergency-unit \n"
"I want to delete the emergency unit with id: 1 from the system","DELETE /emergency-unit/1 \n"
"I want to retrieve information about the emergency unit with id: 1","GET /emergency-unit/1 \n"
"I want to update the emergency unit with id: 1 to have available: false and status: 'responding'","PUT /emergency-unit/1 \n"
"I want to retrieve information about all lights registered in the system","GET /light \n"
"I want to register a new light in the system with id: 103, location: 'Liberty Blvd - Pole 7', status: 'on', brightness: 90, energyConsumption: 1.35, smartEnabled: true","POST /light \n"
"I want to delete the light with id: 101 from the system","DELETE /light/101 \n"
"I want to retrieve information about the light with id: 101","GET /light/101 \n"
"I want to update the light with id: 101 to have brightness: 0 and status: 'off'","PUT /light/101 \n"
"I want to retrieve information about all buses in the system","GET /bus \n"
"I want to register a new bus in the system with id: 3, name: 'East Gate', location: 'East Side Avenue', active: true, nextArrival: '2025-09-25T13:30:00Z', routeId: 'C3'","POST /bus \n"
"I want to delete the bus with id: 1 from the system","DELETE /bus/1 \n"
"I want to retrieve information about the bus with id: 1","GET /bus/1 \n"
"I want to update the bus with id: 1 to have active: false and routeId: 'A1'","PUT /bus/1 \n"
"I want to retrieve information about all sensors in the system","GET /sensor \n"
"I want to register a new sensor in the system with id: 3, location: 'Riverside Walk', sensorType: 'humidity', lastReading: 56.7, lastUpdated: '2025-09-25T09:00:00Z', status: 'active'","POST /sensor \n"
"I want to delete the sensor with id: 1 from the system","DELETE /sensor/1 \n"
"I want to retrieve information about the sensor with id: 1","GET /sensor/1 \n"
"I want to update the sensor with id: 1 to have sensorType: 'temperature'","PUT /sensor/1 \n"
"I want to retrieve information about all traffic-sensors in the system","GET /traffic-sensor \n"
"I want to register a new traffic-sensor in the system with id: 3, location: 'Elm St & 3rd Ave', active: true, congestionLevel: 'low', lastUpdated: '2025-09-25T10:00:00Z'","POST /traffic-sensor \n"
"I want to delete the traffic-sensor with id: 1 from the system","DELETE /traffic-sensor/1 \n"
"I want to retrieve information about the traffic-sensor with id: 1","GET /traffic-sensor/1 \n"
"I want to update the traffic-sensor with id: 1 to have active: 'false'","PUT /traffic-sensor/1 \n"
"I want to retrieve information about all trash bins in the system AND retrieve information about the trash bin with id: 1","GET /bin \n GET /bin/1 \n"
